Country,Year,GDP_Growth,Capital_Formation_lag1,Inflation_lag1,Exchange_Rate_lag1,Government_Debt_lag1,Trade_Balance_lag1,Reserves_lag1
Ghana,2006,5.817,3.684996926849712,2.7785086647507717,-0.0995888860097286,3.4561589397361296,-4.182,7.468401107671964
Ghana,2007,4.074,3.588699938312025,2.5402625140852924,-0.0887145001171829,2.897522979891459,-3.36,7.64449724631838
Ghana,2008,9.003,3.5439981802938267,2.462064407539368,-0.0697583125765369,3.047422988959346,-5.9,7.592587837655028
Ghana,2009,5.681,3.630641045524845,2.862486554406629,0.0509544869988086,3.14354864824821,-8.241,7.478372228019334
Ghana,2010,7.778,3.584518438789193,2.6489369366097035,0.3400135777118638,3.234355395716587,-3.767,7.983030702285808
Ghana,2011,12.766519999999993,3.7894932534567016,2.0523463296270954,0.3576627891922412,3.4942018751103974,-6.094,8.369755263901851
Ghana,2012,8.422,3.144195381191613,2.160560592964628,0.4191214345556499,3.441090945323832,-6.604,8.52769287629734
Ghana,2013,7.241,3.439937209978086,2.088401283051308,0.6015069250047593,3.568771843726026,-8.8,8.510974716717698
Ghana,2014,2.856,3.2097139830758143,2.5389212380942388,0.6837784305558451,3.759570882236469,-9.00976,8.4934253212333
Ghana,2015,2.121,3.3019293800034863,2.802511535891036,1.063529004538839,3.914240544869101,-6.757,8.499106663806316
Ghana,2016,3.373,3.321793358874887,2.8988358363082942,1.312282217707782,3.987056263658359,-5.711,8.557045244953724
Ghana,2017,8.129,3.236951471595431,2.9153353364819616,1.3634904845774374,4.024315439726768,-5.06,8.565764259650104
Ghana,2018,6.2,2.973793366035237,2.593162968557852,1.4702984429491537,4.042770526676053,-3.316,8.766386805514937
Ghana,2019,6.508,3.0777269211066183,2.382966204940858,1.5228609865114828,4.126747213329601,-3.037,8.659786635904538
Ghana,2020,0.89968,2.9256852752419564,2.1051092884284137,1.6519928046195245,4.066356525681932,-2.232,8.850784905613848
Ghana,2021,5.076,2.902739406704826,2.390412803359566,1.7219999348826045,4.281335754831832,-2.534,8.880683309682164
Ghana,2022,3.818,2.835387449563405,2.3957110709835296,1.7588401935819644,4.37171111214635,-2.713,8.989289247812534
Ghana,2023,3.128,2.742258372431947,3.494110752018224,2.112924672496384,4.432240048961379,-2.302,8.396879918951623
Ghana,2024,5.685,2.293912612564241,3.653373993157896,2.399748856879792,4.335589948900293,-1.601,7.977993490652232
Morocco,2001,7.552,3.093464187773745,1.0409831758314734,2.3632695875278777,4.172231100879172,-3.411,8.576338102165211
Morocco,2002,3.316,3.1404817574401886,0.496523839055131,2.4189936704389616,4.1015684073114205,1.865,9.01942196795671
Morocco,2003,6.317,3.1233776273896607,1.3376291891386096,2.3997647363830974,4.083822734762519,3.1335599999999992,9.201755123973316
Morocco,2004,4.802,3.200222936368991,0.7504722471792148,2.259091129163277,4.041804877377485,2.825,9.520329066463947
Morocco,2005,2.978,3.267894534347735,0.905836273970296,2.182451171168928,3.996933844498543,1.495,9.68700923909068
Morocco,2006,7.76,3.233291419102511,0.7371640659767197,2.18211187955205,4.003087822783858,1.577,9.68084387626357
Morocco,2007,2.706,3.256441322754342,1.4431471727126737,2.174249701553846,3.924781271526809,1.901,9.912551847410969
Morocco,2008,5.923,3.4452780608973304,1.0892351268555127,2.1031987575734985,3.851550871984768,-0.059,10.084975428581505
Morocco,2009,4.244,3.595773967055472,1.558986368938002,2.057051316925641,3.741034967755862,-4.632,9.99770622777511
Morocco,2010,3.816,3.49823334417375,-0.1447004757700621,2.086553690285617,3.752370551895134,-4.923,9.995318961153735
Morocco,2011,5.246,3.4716869103765,0.6876319998718352,2.130272281188704,3.8127770907701737,-4.042,9.992515841704044
Morocco,2012,3.01,3.5285346301233504,0.6825916666204286,2.0906132797767403,3.882697176046317,-7.279,9.817810886533485
Morocco,2013,4.535,3.48587548312478,0.8298610038757673,2.1550642551703367,3.956652143571351,-8.4266,9.643133731822608
Morocco,2014,2.669,3.4940499986767715,1.032828548122107,2.128886719464849,4.044383713068329,-6.806,9.767537441998096
Morocco,2015,4.345,3.418087274330423,0.4200252594394941,2.128985789107188,4.070120173331236,-5.514,9.825819894526209
Morocco,2016,0.521,3.4009973616594884,0.9396165571776516,2.278737821650924,4.067213144830067,-1.961,9.958744908824766
Morocco,2017,5.058,3.457798232685434,0.9301936370431464,2.283144955203861,4.095743583135808,-3.75,10.058233701209726
Morocco,2018,3.066,3.448589743964756,0.5911144549947938,2.2713005851281,4.098685128320521,-3.163,10.097639302888975
Morocco,2019,2.891,3.463890451000579,0.9555114450274363,2.2392301294072685,4.101948909082036,-4.883,10.025333626139238
Morocco,2020,-5.33024,3.415133159400634,0.1798184265758361,2.263540278718423,4.098834467494953,-3.421,10.101624572196734
Morocco,2021,8.060199999999998,3.3541057741283047,0.5235443961737654,2.250959882709528,4.2776827480248265,-1.166,10.420625177062794
Morocco,2022,1.527,3.4181528223115687,0.8612007655561951,2.1959442051362728,4.2391805662675495,-2.344,10.376616069797146
Morocco,2023,3.403,3.4053885862806235,2.0171518531430697,2.318523424589713,4.270144902025789,-3.557,10.272148340963714
Morocco,2024,3.186,3.3555373136266304,1.9652925199889304,2.315642087926581,4.240966975628568,-0.618,10.394944558302996
Nigeria,2001,6.667,2.673423423291475,2.0716613543608737,4.643507550371546,4.033986054527817,10.951,9.201339989778884
Nigeria,2002,13.801199999999993,2.717340248009303,2.989160728170952,4.711611367516158,3.9721204294767274,3.388,9.254912127347591
Nigeria,2003,9.503,2.9993258090641213,2.630665070052665,4.792298159543836,3.7673671071626775,1.152,8.899867211223587
Nigeria,2004,10.442,2.864826003706192,2.710247784645697,4.861534564003969,3.73969138266354,3.294,8.878525467248151
Nigeria,2005,7.008,2.8065673542780285,2.772651220286737,4.889506856317107,3.5691946111679567,12.92,9.73831805455974
Nigeria,2006,6.726,2.7457312680698984,2.93683116563383,4.877289281113263,2.9412760877579323,20.298919999999992,10.24987475870638
Nigeria,2007,7.318,2.7891999880449783,2.2211580942983167,4.857108493689828,2.241135130677823,16.391,10.652487280774942
Nigeria,2008,7.199,2.926060600304672,1.908103938448108,4.834757796349303,2.0938374219635683,10.381,10.84607507303661
Nigeria,2009,8.353,2.747975793974529,2.5323466966098307,4.7754753902863,2.010802739369722,8.69,10.870361981874836
Nigeria,2010,11.259,2.966200470947953,2.605795967063454,5.003140612333995,2.15373699625763,4.586,10.596697231143027
Nigeria,2011,4.887,2.8501861349226525,2.690225616189658,5.012616663220726,2.2399647310123783,3.505,10.300899319368115
Nigeria,2012,4.279,2.785751708766062,2.4709767442545023,5.036059346436415,2.8582502302327284,2.54,10.3112137690775
Nigeria,2013,5.394,2.701897981617012,2.583695620062788,5.059425458265688,2.866591229230761,3.719,10.627547472719533
Nigeria,2014,6.31,2.7016296332992877,2.247389457526096,5.0582289755698895,2.906299786222439,3.65,10.603301709337943
Nigeria,2015,2.653,2.7601997954269666,2.2029857277712908,5.066086662256258,2.899001084594219,0.157,10.367679639938276
Nigeria,2016,-1.617,2.740194654428777,2.303484688236882,5.259786148971372,3.0456646423022,-3.123,10.164380350311934
Nigeria,2017,0.806,2.7322223530731957,2.81522906256682,5.535332264347863,3.197407010252548,1.254,10.12586921368572
Nigeria,2018,1.923,2.7391611961272626,2.8623151601136394,5.722898948825393,3.2329759492469825,3.61,10.524685630323615
Nigeria,2019,2.208,2.9863887585508384,2.572230477959675,5.723858555558032,3.356722891560326,1.727,10.60929890946276
Nigeria,2020,-1.75152,3.235378896967215,2.5173738399255017,5.726590227445485,3.4075769886261944,-2.884,10.491848885618188
Nigeria,2021,3.647,3.3140769078125887,2.656476165556162,5.882795222425001,3.5730476385888146,-3.56,10.444512531307096
Nigeria,2022,3.252,3.515207514169888,2.887757231888692,5.994340480695605,3.605198887447999,-0.738,10.460619869590154
Nigeria,2023,2.86,3.495294705041271,2.9880528622101217,6.054390420346829,3.6996957465477855,0.214,10.319978935254737
Nigeria,2024,3.426,3.42207785924151,3.2449333591874905,6.469551151979402,3.885124461559445,1.655,10.218688801816691
