Country,Year,Variable,Value
Ghana,2016,Trade_Balance,-5.06
Nigeria,2016,GDP_Growth,-1.617
Nigeria,2016,Capital_Formation,15.367
Nigeria,2016,Inflation,15.697
Nigeria,2016,Government_Debt,24.469
Nigeria,2016,Trade_Balance,1.254
Angola,2017,GDP_Growth,-0.14
Angola,2017,Capital_Formation,32.769
Angola,2017,Inflation,29.844
Angola,2017,Government_Debt,60.492
Angola,2017,Trade_Balance,-0.453
DRC,2017,GDP_Growth,3.658
DRC,2017,Capital_Formation,12.375
DRC,2017,Inflation,35.734
DRC,2017,Government_Debt,23.18
DRC,2017,Trade_Balance,-3.146
Ghana,2017,GDP_Growth,8.129
Ghana,2017,Capital_Formation,19.566
Ghana,2017,Inflation,12.372
Ghana,2017,Government_Debt,56.984
Ghana,2017,Trade_Balance,-3.316
Nigeria,2017,GDP_Growth,0.806
Nigeria,2017,Capital_Formation,15.474
Nigeria,2017,Inflation,16.502
Nigeria,2017,Government_Debt,25.355
Nigeria,2017,Trade_Balance,3.61
Angola,2018,GDP_Growth,-0.59
Angola,2018,Capital_Formation,30.8
Angola,2018,Inflation,19.629
Angola,2018,Government_Debt,82.541
Angola,2018,Trade_Balance,6.483
DRC,2018,GDP_Growth,4.825
DRC,2018,Capital_Formation,12.467
DRC,2018,Inflation,29.266
DRC,2018,Government_Debt,19.288
DRC,2018,Trade_Balance,-3.481
Ghana,2018,GDP_Growth,6.2
Ghana,2018,Capital_Formation,21.709
Ghana,2018,Inflation,9.837
Ghana,2018,Government_Debt,61.976
Ghana,2018,Trade_Balance,-3.037
Nigeria,2018,GDP_Growth,1.923
Nigeria,2018,Capital_Formation,19.814
Nigeria,2018,Inflation,12.095
Nigeria,2018,Government_Debt,28.695
Nigeria,2018,Trade_Balance,1.727
Angola,2019,GDP_Growth,-0.2
Angola,2019,Capital_Formation,30.851
Angola,2019,Inflation,17.079
Angola,2019,Government_Debt,101.373
Angola,2019,Trade_Balance,5.427
DRC,2019,GDP_Growth,4.485
DRC,2019,Capital_Formation,13.359
DRC,2019,Inflation,4.705
DRC,2019,Government_Debt,19.393
DRC,2019,Trade_Balance,-3.184
Ghana,2019,GDP_Growth,6.508
Ghana,2019,Capital_Formation,18.647
Ghana,2019,Inflation,7.208
Ghana,2019,Government_Debt,58.344
Ghana,2019,Trade_Balance,-2.232
Nigeria,2019,GDP_Growth,2.208
Nigeria,2019,Capital_Formation,25.416
Nigeria,2019,Inflation,11.396
Nigeria,2019,Government_Debt,30.192
Nigeria,2019,Trade_Balance,-2.884
Angola,2020,GDP_Growth,-4.04
Angola,2020,Capital_Formation,35.878
Angola,2020,Inflation,22.277
Angola,2020,Government_Debt,119.145
Angola,2020,Trade_Balance,1.311
DRC,2020,GDP_Growth,1.671
DRC,2020,Capital_Formation,11.616
DRC,2020,Inflation,11.358
DRC,2020,Government_Debt,24.856
DRC,2020,Trade_Balance,-2.121
Ghana,2020,GDP_Growth,0.514
Ghana,2020,Capital_Formation,18.224
Ghana,2020,Inflation,9.918
Ghana,2020,Government_Debt,72.337
Ghana,2020,Trade_Balance,-2.534
Nigeria,2020,GDP_Growth,-1.794
Nigeria,2020,Capital_Formation,27.497
Nigeria,2020,Inflation,13.246
Nigeria,2020,Government_Debt,35.625
Nigeria,2020,Trade_Balance,-3.698
Angola,2021,GDP_Growth,2.1
Angola,2021,Capital_Formation,36.101
Angola,2021,Inflation,25.765
Angola,2021,Government_Debt,74.292
Angola,2021,Trade_Balance,9.955
DRC,2021,GDP_Growth,1.726
DRC,2021,Capital_Formation,14.106
DRC,2021,Inflation,8.989
DRC,2021,Government_Debt,24.685
DRC,2021,Trade_Balance,-1.062
Ghana,2021,GDP_Growth,5.076
Ghana,2021,Capital_Formation,17.037
Ghana,2021,Inflation,9.976
Ghana,2021,Government_Debt,79.179
Ghana,2021,Trade_Balance,-2.713
Nigeria,2021,GDP_Growth,3.647
Nigeria,2021,Capital_Formation,33.835
Nigeria,2021,Inflation,16.953
Nigeria,2021,Government_Debt,36.789
Nigeria,2021,Trade_Balance,-0.738
Angola,2022,GDP_Growth,4.22
Angola,2022,Capital_Formation,33.586
Angola,2022,Inflation,21.36
Angola,2022,Government_Debt,56.108
Angola,2022,Trade_Balance,8.258
DRC,2022,GDP_Growth,9.22
DRC,2022,Capital_Formation,11.984
DRC,2022,Inflation,9.266
DRC,2022,Government_Debt,22.603
DRC,2022,Trade_Balance,-5.114
Ghana,2022,GDP_Growth,3.818
Ghana,2022,Capital_Formation,15.522
Ghana,2022,Inflation,31.921
Ghana,2022,Government_Debt,85.743
Ghana,2022,Trade_Balance,-2.302
Nigeria,2022,GDP_Growth,3.252
Nigeria,2022,Capital_Formation,32.96
Nigeria,2022,Inflation,18.847
Nigeria,2022,Government_Debt,40.435
Nigeria,2022,Trade_Balance,0.214
Angola,2023,GDP_Growth,1.001
Angola,2023,Capital_Formation,34.008
Angola,2023,Inflation,13.639
Angola,2023,Government_Debt,71.385
Angola,2023,Trade_Balance,3.813
DRC,2023,GDP_Growth,8.498
DRC,2023,Capital_Formation,15.834
DRC,2023,Inflation,19.894
DRC,2023,Government_Debt,25.061
DRC,2023,Trade_Balance,-6.495
Ghana,2023,GDP_Growth,3.128
Ghana,2023,Capital_Formation,9.9
Ghana,2023,Inflation,39.21
Ghana,2023,Government_Debt,76.37
Ghana,2023,Trade_Balance,-1.601
Nigeria,2023,GDP_Growth,2.86
Nigeria,2023,Capital_Formation,30.633
Nigeria,2023,Inflation,24.66
